"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc","c5r2mtsc_std"
"0197008C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,31,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,53.5,39.18,"$50,001 TO $75,000",62500.5,0,0,57.16,0.68496765490133
"0197010C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.777,0.233766964267483
"0197012C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.352,0.498846083223028
"0197013C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.912,-0.884712502704169
"0197014C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,35,41,"SOME COLLEGE","SOME COLLEGE",0,0,52.54,52.54,"$35,001 TO $40,000",37500.5,0,0,53.908,0.350195889913589
"0197015C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,45,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,34.95,"$35,001 TO $40,000",37500.5,0,1,40.865,-0.992494187188229
"0197016C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.124,-0.348171777268711
"0201003C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,34,40,"BACHELOR'S DEGREE","VOC/TECH PROGRAM",0,1,34.95,62.87,"$50,001 TO $75,000",62500.5,0,0,57.978,0.769175312884101
"0201008C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,37,37,"SOME COLLEGE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,35.78,35.92,"$50,001 TO $75,000",62500.5,0,0,34.901,-1.60644830969342
"0201011C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,38,"SOME COLLEGE","SOME COLLEGE",0,0,48.69,39.18,"$75,001 TO $100,000",87500.5,0,0,44.585,-0.609544935726237
"0201014C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,45,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,35.92,"$50,001 TO $75,000",62500.5,0,0,53.495,0.307680287533534
"0201016C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,NA,35,"SOME COLLEGE","NOT APPLICABLE",0,NA,NA,59,"$25,001 TO $30,000",27500.5,0,0,47.113,-0.34930415408755
"0201018C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,42,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,35.78,"$30,001 TO $35,000",32500.5,0,0,42.945,-0.778372025080449
"0201022C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,38.18,NA,"$20,001 TO $25,000",22500.5,0,0,57.849,0.755895621099532
"0202001C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,49,51,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,53.5,48.69,"$200,001 TO $200,001",200001,0,0,35.527,-1.54200577436675
"0202002C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,30,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$15,001 TO $20,000",17500.5,1,1,47.493,-0.310185682164013
"0202004C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.73,0.743645362786635
"0202011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,50,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,33.42,63.43,"$75,001 TO $100,000",87500.5,0,0,52.542,0.209575277683191
"0202013C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.102,-1.37987000257841
"0202015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,43,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,35.78,53.5,"$100,001 TO $200,000",150000.5,0,0,60.144,0.992150602848261
"0202016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,39,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,53.5,34.95,"$100,001 TO $200,000",150000.5,0,0,59.568,0.932855234879953
"0204001C",0,"ASIAN",0,0,0,1,1,37,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,34.95,"$25,001 TO $30,000",27500.5,0,0,48.515,-0.204977581359133
"0204003C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,33,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,34.95,NA,"$25,001 TO $30,000",27500.5,0,0,43.012,-0.771474820820246
"0204004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,25,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,NA,"$40,001 TO $50,000",45000.5,0,0,38.255,-1.26117632329463
"0204007C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,31,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,33.42,33.42,"$25,001 TO $30,000",27500.5,0,0,31.776,-1.92814626959093
"0204009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,40,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,NA,53.5,"$40,001 TO $50,000",45000.5,0,0,53.535,0.311798021420222
"0204011C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,2,35,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,35.92,NA,"$20,001 TO $25,000",22500.5,1,0,41.925,-0.883374239190995
"0204012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,44,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,38.18,37.67,"$50,001 TO $75,000",62500.5,0,0,56.328,0.599318790058218
"0204013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,39,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,33.42,"$40,001 TO $50,000",45000.5,0,0,46.045,-0.459247648862122
"0204014C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,27,30,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,33.42,"$35,001 TO $40,000",37500.5,0,0,32.228,-1.88161587667135
"0204016C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.63,-1.94317599827734
"0204018C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,32,NA,"NOT APPLICABLE","VOC/TECH PROGRAM",NA,1,61.56,NA,"$40,001 TO $50,000",45000.5,0,0,56.299,0.596333432990369
"0204019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,35,"9TH - 12TH GRADE","MASTER'S DEGREE (MA, MS)",1,0,63.43,33.42,"$75,001 TO $100,000",87500.5,0,0,56.632,0.630613567597047
"0204020C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,31,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,NA,39.18,"$35,001 TO $40,000",37500.5,0,0,45.359,-0.529866785018823
"0204021C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,28,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,38.18,NA,"$35,001 TO $40,000",37500.5,0,0,18.33,-3.31232251560113
"0204022C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,2,34,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$10,001 TO $15,000",12500.5,1,1,50.964,0.0471306758533452
"0206007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,44,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,33.42,"$40,001 TO $50,000",45000.5,0,0,55.544,0.518611205879131
"0206011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$5,001 TO $10,000",7500.5,1,1,47.51,-0.308435645262171
"0206012C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,37,31,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,NA,"$5,001 TO $10,000",7500.5,1,1,23.129,-2.81829739254573
"0206018C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,37,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,34.95,NA,"$10,001 TO $15,000",12500.5,1,1,30.691,-2.03983980126734
"0206021C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.096,1.50192605802025
"0207001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,39,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,56.025,0.568126955866555
"0207003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$20,001 TO $25,000",22500.5,0,0,55.037,0.46641892886536
"0207004C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,2,43,43,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,29.6,"$75,001 TO $100,000",87500.5,0,0,61.097,1.0902556126986
"0207006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,44,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,63.43,39.18,"$25,001 TO $30,000",27500.5,0,0,46.811,-0.380393044932045
"0207008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,53.5,"$40,001 TO $50,000",45000.5,0,0,50.001,-0.0520037674686706
"0207009C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.196,1.20339035123536
"0207010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,39.18,"$30,001 TO $35,000",32500.5,0,0,53.489,0.30706262745053
"0207013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,33,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,35.92,"$75,001 TO $100,000",87500.5,0,0,43.494,-0.721856127485655
"0207014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,53,55,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,35.92,"$50,001 TO $75,000",62500.5,0,0,45.853,-0.479012771518225
"0207016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,35.78,35.63,"$25,001 TO $30,000",27500.5,0,0,49.646,-0.0885486557130271
"0207017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,40,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,61.56,34.95,"$75,001 TO $100,000",87500.5,0,0,53.361,0.293885879013129
"0207018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,43,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,63.43,35.78,"$100,001 TO $200,000",150000.5,0,0,66.634,1.6602529259634
"0207020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,51,50,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,62.132,1.19680197701666
"0207021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,38.18,"$35,001 TO $40,000",37500.5,0,0,43.227,-0.749342001179298
"0207022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,39,"DOCTORATE OR PROFESSIONAL DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,63.43,64.89,"$40,001 TO $50,000",45000.5,0,0,45.943,-0.469747870273177
"0207023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,60,69,"8TH GRADE OR BELOW","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,53.5,NA,"$20,001 TO $25,000",22500.5,0,0,50.528,0.00224737648844504
"0207024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,41,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,39.18,35.92,"$50,001 TO $75,000",62500.5,0,0,52.798,0.235928774557994
"0212001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,52,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,39.2,"$40,001 TO $50,000",45000.5,0,0,54.984,0.460962931465498
"0212002C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.11,-0.143726289794648
"0212004C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,35,48,"SOME COLLEGE","SOME COLLEGE",0,0,53.5,53.5,"$50,001 TO $75,000",62500.5,0,0,31.569,-1.94945554245454
"0212005C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,36,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,38.18,29.6,"$75,001 TO $100,000",87500.5,0,0,65.822,1.57666292806364
"0212007C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,38,44,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,53.5,NA,"$50,001 TO $75,000",62500.5,0,0,41.051,-0.97334672461513
"0212008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,41,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,38.18,33.42,"$75,001 TO $100,000",87500.5,0,0,55.99,0.564523938715704
"0212009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,36,"SOME COLLEGE","VOC/TECH PROGRAM",0,1,53.5,35.78,"$50,001 TO $75,000",62500.5,0,0,59.587,0.93481115847613
"0212010C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.738,-0.182021214940847
"0212011C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,36,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,39.2,"$50,001 TO $75,000",62500.5,0,0,51.186,0.0699840989244642
"0212012C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,40,40,"SOME COLLEGE","VOC/TECH PROGRAM",0,1,34.95,39.2,"$5,001 TO $10,000",7500.5,1,0,55.295,0.492978312434498
"0212013C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,44,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,39.2,"$50,001 TO $75,000",62500.5,0,0,43.3,-0.741827136836092
"0212014C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,29,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,34.95,NA,"$20,001 TO $25,000",22500.5,0,0,45.163,-0.550043681063595
"0212016C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,44,46,"SOME COLLEGE","SOME COLLEGE",0,0,35.78,53.5,"$50,001 TO $75,000",62500.5,0,0,43.147,-0.757577468952674
"0212017C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,50,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$20,001 TO $25,000",22500.5,0,0,55.683,0.532920331135372
"0212018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,34.95,NA,"$5,000 TO $5,000",5000,1,1,54.317,0.392299718904974
"0212019C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.546,0.209987051071859
"0212021C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,33,33,"MASTER'S DEGREE (MA, MS)","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,61.56,53.5,"$100,001 TO $200,000",150000.5,0,0,44.585,-0.609544935726237
"0212022C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,36,NA,"NOT APPLICABLE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",NA,0,63.43,NA,"$40,001 TO $50,000",45000.5,0,0,56.474,0.614348518744629
"0212023C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,33,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,57.83,35.92,"$50,001 TO $75,000",62500.5,0,0,59.121,0.886839558696214
"0212024C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,41,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,61.56,39.2,"$75,001 TO $100,000",87500.5,0,0,55.089,0.471771982918054
"0212025C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,37,35,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,61.56,39.2,"$75,001 TO $100,000",87500.5,0,0,48.724,-0.183462421801188
"0213001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,37.67,NA,"$40,001 TO $50,000",45000.5,0,0,62.935,1.27946548479192
"0213003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,41,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,59,77.5,"$50,001 TO $75,000",62500.5,0,0,50.833,0.0336450973744417
"0213004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,53.5,35.92,"$50,001 TO $75,000",62500.5,0,0,57.046,0.673232113324269
"0213005C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.733,-0.594309320345492
"0213006C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,26,NA,"NOT APPLICABLE","VOC/TECH PROGRAM",NA,1,34.95,NA,"$30,001 TO $35,000",32500.5,0,0,51.202,0.0716311924791393
"0213008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,53.5,35.63,"$30,001 TO $35,000",32500.5,0,0,40.283,-1.05240721523954
"0213009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,50,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,29.6,"$30,001 TO $35,000",32500.5,0,0,40.083,-1.07299588467298
"0213010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,42,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,48.69,48.69,"$50,001 TO $75,000",62500.5,0,0,52.65,0.220693159177248
"0213012C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,33,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,34.95,NA,"$40,001 TO $50,000",45000.5,0,0,56.749,0.64265793921561
"0213013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,30,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,53.5,34.95,"$35,001 TO $40,000",37500.5,0,0,59.881,0.965076502543287
"0213014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,59.05,0.879530581047342
"0213015C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,47,44,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,NA,"$40,001 TO $50,000",45000.5,0,0,59.136,0.888383708903722
"0213016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,30,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,35.92,"$35,001 TO $40,000",37500.5,0,0,49.556,-0.0978135569580756
"0213017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$15,001 TO $20,000",17500.5,0,1,43.74,-0.696532064082523
"0213018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,45,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,34.95,39.2,"$35,001 TO $40,000",37500.5,0,0,54.48,0.409079484493228
"0213020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,45,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,39.18,"$25,001 TO $30,000",27500.5,0,0,56.632,0.630613567597047
"0213021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,34,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,35.78,"$40,001 TO $50,000",45000.5,0,0,44.266,-0.642383863472575
"0213022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,42,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,61.56,63.43,"$50,001 TO $75,000",62500.5,0,0,56.649,0.63236360449889
"0213023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,33.42,"$50,001 TO $75,000",62500.5,0,0,44.205,-0.648663407649774
"0213024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,35.92,"$40,001 TO $50,000",45000.5,0,0,59.678,0.944179003068345
"0213025C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,45,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,34.95,39.2,"$35,001 TO $40,000",37500.5,0,0,32.733,-1.82962948635192
"0214001C",0,"ASIAN",0,0,0,1,1,33,40,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,NA,33.42,"$50,001 TO $75,000",62500.5,0,0,52.131,0.16726556199747
"0214004C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,33,36,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,59,38.18,"$50,001 TO $75,000",62500.5,0,0,61.226,1.10353530448317
"0214005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,33.42,NA,"$20,001 TO $25,000",22500.5,0,0,52.66,0.22172259264892
"0214006C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,31,33,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,34.95,39.18,"$25,001 TO $30,000",27500.5,0,0,60.569,1.03590152539432
"0214007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,34.95,35.92,"$50,001 TO $75,000",62500.5,0,0,54.605,0.421947402889128
"0214009C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,35,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,NA,NA,"$5,001 TO $10,000",7500.5,1,1,50.485,-0.00217918743974458
"0214010C",0,"AMERICAN INDIAN OR ALASKA NATIVE",0,0,0,0,1,33,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,39.2,"$50,001 TO $75,000",62500.5,0,0,48.77,-0.178727027831496
"0214011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,NA,"$10,001 TO $15,000",12500.5,1,1,48.029,-0.255008048082393
"0214012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$15,001 TO $20,000",17500.5,0,0,35.616,-1.53284381646887
"0214014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,33.42,"$40,001 TO $50,000",45000.5,0,0,44.94,-0.573000047481881
"0214015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,53.5,38.18,"$35,001 TO $40,000",37500.5,0,0,61.535,1.13534479875784
"0214016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,33,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,53.5,"$40,001 TO $50,000",45000.5,0,0,46.961,-0.364951542856965
"0214017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,35.92,"$75,001 TO $100,000",87500.5,0,0,47.937,-0.264478836021776
"0214018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,NA,NA,"$5,001 TO $10,000",7500.5,1,1,66.859,1.68341517907602
"0214019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,34.95,37.67,"$40,001 TO $50,000",45000.5,0,0,65.874,1.58201598211633
"0214020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,44,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,64.89,"$50,001 TO $75,000",62500.5,0,0,67.72,1.77204940098698
"0214022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,35,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,48.375,-0.219389649962541
